"cors","MACs_observed","MACs_ave_perm","fdr"
1,0,0,0
0.99,0,0,0
0.98,0,0,0
0.97,0,0,0
0.96,0,0,0
0.95,0,0,0
0.94,0,0,0
0.93,0,0,0
0.92,0,0,0
0.91,0,0,0
0.9,0,0,0
0.89,0,0,0
0.88,0,0,0
0.87,0,0,0
0.86,0,0,0
0.85,0,0,0
0.84,0,0,0
0.83,0,0,0
0.82,0,0,0
0.81,0,0,0
0.8,0,0,0
0.79,4,0,0
0.78,4,0,0
0.77,4,0,0
0.76,4,0,0
0.75,6,0,0
0.74,8,0,0
0.73,8,0,0
0.72,12,0,0
0.71,12,0,0
0.7,14,0,0
0.69,14,0,0
0.68,18,0,0
0.67,18,0,0
0.66,18,0,0
0.65,20,0,0
0.64,24,0,0
0.63,26,0,0
0.62,28,0,0
0.61,30,0,0
0.6,30,0,0
0.59,36,0,0
0.58,38,0,0
0.57,44,0,0
0.56,46,0,0
0.55,46,0,0
0.54,48,0,0
0.53,48,0,0
0.52,48,0,0
0.51,52,0,0
0.5,56,0,0
0.49,56,0,0
0.48,56,0,0
0.47,58,0,0
0.46,58,0,0
0.45,60,0,0
0.44,60,0,0
0.43,60,0,0
0.42,60,0,0
0.41,64,0,0
0.4,66,0,0
0.39,70,0,0
0.38,76,0,0
0.37,78,0,0
0.36,82,0,0
0.35,82,0,0
0.34,86,0,0
0.33,86,0,0
0.32,88,0,0
0.31,88,0,0
0.3,88,0,0
0.29,92,0,0
0.28,94,0,0
0.27,98,0,0
0.26,99,0,0
0.25,101,0,0
0.24,104,0.1,0.000961538461538462
0.23,106,0.1,0.000943396226415094
0.22,110,0.4,0.00363636363636364
0.21,113,1.9,0.0168141592920354
0.2,120,3.6,0.03
0.19,137,8.3,0.0605839416058394
0.18,152,18.1,0.119078947368421
0.17,168,32.4,0.192857142857143
0.16,188,58.7,0.312234042553191
0.15,217,96.4,0.444239631336406
0.14,235,139.7,0.594468085106383
0.13,244,174.1,0.713524590163934
0.12,248,188.4,0.759677419354839
0.11,248,191.7,0.772983870967742
0.1,248,192,0.774193548387097
0.09,248,192,0.774193548387097
0.08,248,192,0.774193548387097
0.07,248,192,0.774193548387097
0.06,248,192,0.774193548387097
0.05,248,192,0.774193548387097
0.04,248,192,0.774193548387097
0.03,248,192,0.774193548387097
0.02,248,192,0.774193548387097
0.01,248,192,0.774193548387097
0,248,192,0.774193548387097
